ult_party_id|acct_id|cust_source_cd|la_id|behavior_score_05|behavior_score_06|behavior_score_07|behavior_score_09|behavior_score_10|behavior_score_11|behavior_score_12|behavior_score_13|behavior_score_22|behavior_score_23|behavior_score_24|dim_01_ind|dim_02_ind|dim_03_ind|dim_04_ind|dim_05_ind|dim_06_ind|dim_07_ind|dim_08_ind|dim_09_ind|dim_10_ind|dim_11_ind|dim_12_ind|dim_13_ind|dim_14_ind|dim_15_ind|dim_16_ind|dim_17_ind|dim_18_ind|dim_19_ind|dim_20_ind|dim_21_ind|dim_22_ind|dim_23_ind|dim_24_ind|dim_25_ind|dim_26_ind|dim_27_ind|dim_28_ind|dim_29_ind|dim_30_ind|dim_31_ind|dim_32_ind|dim_33_ind|dim_34_ind|dim_35_ind|dim_36_ind|dim_37_ind|dim_38_ind|dim_39_ind|dim_40_ind|dim_41_ind|dim_42_ind|dim_43_ind|dim_44_ind|dim_45_ind|dim_46_ind|dim_47_ind|dim_48_ind|dim_49_ind|dim_50_ind
79335629|6804993|Sample|PS07US02PV04V86P|469|628|707|895|832|795|587|749|809|765|773|0|1|0|0|0|0|0||1||1|1|0|0|0|0|1|1|0|1|1|0|0|1||||||||||||||||||||||||||
75539029|6815241|Sample|PS07US02WH6FL85E|452|616|717|743|496|721|575|379|497|462|632|0|0|1|1|0|0|0||0||0|||||||||||||||||||||||||||||||||||||||
87702887|6612829|Sample|PS07US02WH6FL85E|291|330|614|617|446|486|848|327|518|676|283|0|0|0|1|0|0|0||0||0|1|1|1|0|1|0|1|1|0|0|0|0|0||||||||||||||||||||||||||
75386365|6986719|Sample|PS07US02XWRSS1C7|291|330|614|617|446|486|848|327|518|676|283|0|0|0|1|0|0|0||0||0|1|1|1|0|1|0|1|1|0|0|0|0|0||||||||||||||||||||||||||
92124412|6575849|Sample|PS07US02H30Q4NCL|393|218|388|355|413|347|484|775|361|459|209|1|0|0|0|0|0|0||0||0|1|0|0|0|0|1|0|0|1|0|0|0|0||||||||||||||||||||||||||
89578512|6671858|Sample|PS07US01668FZ43H|364|284|526|507|467|611|824|429|382|408|434|0|1|0|0|0|0|0||0||0|1|0|0|0|0|0|0|1|0|0|0|0|1||||||||||||||||||||||||||
85015437|6915805|Sample|PS07US01E08325N7|503|501|478|489|473|401|461|489|530|498|441|0|0|1|0|0|0|0||0||0|||||||||||||||||||||||||||||||||||||||
75695332|6746619|Sample|PS07US027TPM3627|792|743|795|779|578|656|872|716|528|733|861|0|1|0|0|0|0|0||1||1|0|1|1|0|1|1|1|1|1|0|0|0|0||||||||||||||||||||||||||
79422181|6632963|Sample|PS07US027TPM3627|748|275|346|276|543|427|486|790|399|793|678|1|0|0||||||||0|1|0|1|0|1|1|1|0|1|0|0|0|0||||||||||||||||||||||||||
89448770|6605406|Sample|PS07US020X2WJC45|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
84058297|6597937|Sample|PS07US01QBSZ4E3M|548|670|687|676|572|566|579|783|593|450|622|0|1|0|1|0|0|0||0||0|0|0|1|0|0|0|1|0|1|0|0|0|0||||||||||||||||||||||||||
95233849|6543451|Sample|PS07US01ZG618M3H|521|661|672|705|582|595|557|431|729|419|602|0|0|1|1|0|0|0||0||0|1|0|0|0|0|0|0|0|0|0|0|0|0||||||||||||||||||||||||||
90726393|6943623|Sample|PS07US01ZG618M3H|359|200|345|601|262|328|801|447|327|474|523|1|0|0||||||1||0|1|1|0|0|1|1|1|1|0|0|0|0|0||||||||||||||||||||||||||
78029353|6623635|Sample|PS07US01ZG618M3H|474|457|585|540|494|408|555|467|499|474|438|1|0|0|1|0|0|0||0|||||||||||||||||||||||||||||||||||||||||
