ult_party_id,acct_id,cust_source_cd,la_id,behavior_score_05,behavior_score_06,behavior_score_07,behavior_score_09,behavior_score_10,behavior_score_11,behavior_score_12,behavior_score_13,behavior_score_22,behavior_score_23,behavior_score_24,dim_01_ind,dim_02_ind,dim_03_ind,dim_04_ind,dim_05_ind,dim_06_ind,dim_07_ind,dim_08_ind,dim_09_ind,dim_10_ind,dim_11_ind,dim_12_ind,dim_13_ind,dim_14_ind,dim_15_ind,dim_16_ind,dim_17_ind,dim_18_ind,dim_19_ind,dim_20_ind,dim_21_ind,dim_22_ind,dim_23_ind,dim_24_ind,dim_25_ind,dim_26_ind,dim_27_ind,dim_28_ind,dim_29_ind,dim_30_ind,dim_31_ind,dim_32_ind,dim_33_ind,dim_34_ind,dim_35_ind,dim_36_ind,dim_37_ind,dim_38_ind,dim_39_ind,dim_40_ind,dim_41_ind,dim_42_ind,dim_43_ind,dim_44_ind,dim_45_ind,dim_46_ind,dim_47_ind,dim_48_ind,dim_49_ind,dim_50_ind
21362743,1098389,Sample,QV03US02RQENJYQF,443,523,546,592,780,583,493,441,807,408,527,0,0,1,0,0,0,0,,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21382709,1256325,Sample,QV03US02XVLN8FE9,361,400,726,670,559,368,665,366,399,455,303,0,1,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21310570,1509065,Sample,QV03US02XVLN8FE9,361,400,726,670,559,368,665,366,399,455,303,0,1,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21309095,1247473,Sample,QV03US02XJ8QRVNY,468,419,445,435,451,333,464,494,480,413,326,0,1,0,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21465916,1585885,Sample,QV03US02TT23Q943,330,430,608,624,375,555,809,340,413,478,382,0,0,1,1,0,0,0,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21176386,1125467,Sample,QV03US02MW0KEVVX,396,408,554,493,520,379,828,430,607,734,356,0,1,0,,,,,,0,,0,1,0,1,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21426577,1535034,Sample,QV03US020SRPH4M2,452,345,386,335,298,555,505,485,415,493,453,1,0,0,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21356976,1860518,Sample,QV03US02M593LJNX,446,287,313,234,285,429,451,815,426,746,367,0,0,0,,,,,,,,0,0,0,1,0,0,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21396428,2096187,Sample,QV03US01QGT6421M,447,284,509,460,420,440,560,469,399,470,306,1,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21283194,1858761,Sample,QV03US01TM5XSFF3,427,453,453,420,443,380,454,460,469,483,375,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21328837,1856382,Sample,QV03US01KVFQRX88,658,500,362,286,508,200,772,786,696,761,428,1,0,0,0,0,0,0,,0,,0,1,1,1,0,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21247212,1627239,Sample,QV03US020T32R5NB,407,373,534,803,383,386,814,441,600,456,576,0,1,0,0,0,0,0,,0,,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21156326,1168557,Sample,QV03US021QXLWY21,767,334,439,399,420,391,806,796,423,819,344,1,0,0,,,,,,,,0,1,0,1,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21296957,1327369,Sample,QV03US0136N7H7D2,772,596,689,902,792,552,845,750,663,777,813,0,1,0,0,0,0,0,,0,,0,1,1,1,0,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21345016,1763272,Sample,QV03US02JP20074D,441,316,512,444,463,404,543,452,426,543,334,1,0,0,,,,,,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21405397,1497928,Sample,QV03US017KEH87EM,399,248,408,366,468,648,494,470,400,466,220,1,0,0,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
21179946,2063200,Sample,QV03US01XLKSVWND,779,261,339,293,438,365,441,827,703,759,526,1,0,0,,,,,,0,,0,0,0,1,0,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21241717,2067533,Sample,QV03US019ZRZXVDQ,505,503,488,486,496,497,492,506,508,500,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21097786,1308714,Sample,QV03US01DHLG1XL8,437,383,422,374,474,386,463,503,469,450,334,0,1,0,0,0,0,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21445974,1620533,Sample,QV03US0293DW8CDL,711,320,538,486,460,363,830,416,719,449,495,0,1,0,0,0,0,0,,0,,0,0,0,1,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21042072,1274651,Sample,QV03US02QPQPNGNC,470,281,345,315,336,266,418,558,440,743,235,0,1,0,,,,,,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21284703,1944396,Sample,QV03US029ZL2CWN2,476,525,549,518,547,455,525,480,508,744,482,0,1,0,,,,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21235448,1110653,Sample,QV03US01YCBJ860M,415,382,596,540,515,471,853,413,420,475,719,1,0,0,0,0,0,0,,,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21121758,1230971,Sample,QV03US016MK79FEN,530,516,594,540,458,576,570,798,528,731,548,1,0,0,,,,,,0,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21257485,1554870,Sample,QV03US02FCNQPWE7,417,489,678,630,498,447,845,384,610,813,663,0,1,0,0,0,0,0,,0,,0,1,0,1,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21409728,1396327,Sample,QV03US02SMYYPGPV,469,614,710,738,752,584,581,422,479,767,507,0,1,0,1,0,0,0,,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21112826,1240710,Sample,QV03US01Q66BRL8E,397,434,634,622,472,415,556,701,436,744,329,0,0,1,1,0,0,0,,0,,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21059779,1805866,Sample,QV03US01V4TDBH28,710,265,463,401,491,281,529,768,376,741,484,1,0,0,0,0,0,0,,1,,0,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21058248,1116741,Sample,QV03US01V4TDBH28,710,265,463,401,491,281,529,768,376,741,484,1,0,0,0,0,0,0,,1,,0,0,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21143950,1606894,Sample,QV03US01JK0KM9V3,470,282,445,715,647,470,537,474,747,748,657,1,0,0,,,,,,0,,0,1,0,1,0,1,1,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21297276,2033967,Sample,QV03US02VNWFE2M6,518,694,773,775,516,894,608,411,770,437,874,0,1,0,1,0,0,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
21045833,1318313,Sample,QV03US02J6CPGNXR,379,566,720,705,567,551,620,359,434,665,496,0,0,1,1,0,0,0,,0,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21117958,1712334,Sample,QV03US02EM466KFQ,814,495,401,371,384,726,402,834,792,775,702,0,1,0,,,,,,,,1,1,1,0,0,1,0,1,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
21023044,1609844,Sample,QV03US0216FKLJ8X,513,595,503,522,467,596,798,504,763,754,598,0,0,1,0,0,0,0,,0,,0,1,1,0,0,1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
