ult_party_id|acct_id|cust_source_cd|la_id|behavior_score_05|behavior_score_06|behavior_score_07|behavior_score_09|behavior_score_10|behavior_score_11|behavior_score_12|behavior_score_13|behavior_score_22|behavior_score_23|behavior_score_24|dim_01_ind|dim_02_ind|dim_03_ind|dim_04_ind|dim_05_ind|dim_06_ind|dim_07_ind|dim_08_ind|dim_09_ind|dim_10_ind|dim_11_ind|dim_12_ind|dim_13_ind|dim_14_ind|dim_15_ind|dim_16_ind|dim_17_ind|dim_18_ind|dim_19_ind|dim_20_ind|dim_21_ind|dim_22_ind|dim_23_ind|dim_24_ind|dim_25_ind|dim_26_ind|dim_27_ind|dim_28_ind|dim_29_ind|dim_30_ind|dim_31_ind|dim_32_ind|dim_33_ind|dim_34_ind|dim_35_ind|dim_36_ind|dim_37_ind|dim_38_ind|dim_39_ind|dim_40_ind|dim_41_ind|dim_42_ind|dim_43_ind|dim_44_ind|dim_45_ind|dim_46_ind|dim_47_ind|dim_48_ind|dim_49_ind|dim_50_ind
52322073|2526071|Sample|QS07US02HN6E6FKH|807|870|609|869|575|558|540|793|759|726|803|0|1|0||||||0||0|1|0|1|0|1|1|1|0|1|1|0|0|0||||||||||||||||||||||||||
65278775|3666473|Sample|QS07US020SRWN98C|376|269|398|295|228|411|537|770|360|777|329|0|0|0||||||||0|1|0|1|0|1|1|1|0|1|0|0|0|0||||||||||||||||||||||||||
62893505|3887783|Sample|QS07US01SBKKM81Y|516|464|450|437|450|448|787|527|518|736|461|||||||||0||0|0|0|1|0|0|0|0|1|0|0|0|0|0||||||||||||||||||||||||||
54523152|3063580|Sample|QS07US02JXYFCXE8|523|705|725|724|449|892|845|414|793|736|860|0|0|1|1|0|0|0||0||1|1|1|0|0|1|0|1|1|0|0|0|0|1||||||||||||||||||||||||||
59475220|2896135|Sample|QS07US01ETPJKVV7|425|499|600|624|517|449|544|413|460|431|432|0|1|0|0|0|0|0||0||0|||||||||||||||||||||||||||||||||||||||
49560509|2991865|Sample|QS07US01ZLZLEB2K|442|212|311|274|662|354|456|535|656|502|242|1|0|0||||||||0|0|0|0|1|0|1|0|0|0|0|0|0|0||||||||||||||||||||||||||
55612381|2908361|Sample|QS07US01ZLZLEB2K|442|212|311|274|662|354|456|535|656|502|242|1|0|0||||||||0|0|0|0|1|0|1|0|0|0|0|0|0|0||||||||||||||||||||||||||
49975864|3573743|Sample|QS07US02VMQT437L|753|525|617|579|480|433|555|429|792|805|760|0|1|0||||||0||0|1|0|1|0|1|0|1|0|0|1|0|0|0||||||||||||||||||||||||||
53996739|3172924|Sample|QS07US02EJ5081TY|526|529|576|566|804|434|527|808|542|447|482|0|1|0|1|0|0|0||0||0|0|0|1|0|0|0|0|0|1|0|0|0|0||||||||||||||||||||||||||
55667192|2522604|Sample|QS07US01DV3LBX4R|421|250|394|309|388|356|504|791|685|480|254|1|0|0||||||||0|1|0|0|0|0|0|0|0|1|0|0|0|0||||||||||||||||||||||||||
50079900|3956156|Sample|QS07US028FFYGBDL|474|463|463|448|482|370|775|805|467|814|402|0|1|0|0|0|0|0||||0|1|1|0|0|1|0|1|1|1|0|0|0|0||||||||||||||||||||||||||
64236063|3423356|Sample|QS07US01G64NCRF9|491|482|556|513|488|459|523|797|694|435|451|0|1|0|0|0|0|0||0||1|1|0|0|0|0|0|0|0|1|0|0|0|0||||||||||||||||||||||||||
60335559|3194976|Sample|QS07US01QQ2G7ZY2|515|347|390|361|440|417|481|548|648|497|387|1|0|0||||||0||0|1|0|0|0|0|1|0|0|0|0|0|0|0||||||||||||||||||||||||||
48448111|3393340|Sample|QS07US0191YKD1D7|789|484|506|520|471|493|487|794|806|457|718|||||||||0||0|0|0|1|0|0|0|0|0|1|1|0|0|||||||||||||||||||||||||||
47942519|4023947|Sample|QS07US01JBYKL25C|497|518|499|822|545|492|789|507|772|478|497|1|0|0||||||0|||1|0|0|0|0|0|0|1|0|0|0|0|0||||||||||||||||||||||||||
49984060|2924630|Sample|QS07US01XG0PG1V4|456|338|431|389|418|395|503|799|600|820|351|1|0|0|||||||||0|1|0|0|0|1|1|0|1|0|0|0|0||||||||||||||||||||||||||
50109047|3260197|Sample|QS07US027202S4NY|363|404|613|574|566|411|842|392|389|454|654|0|1|0|0|0|0|0||1||0|1|0|0|0|0|1|1|1|0|0|0|0|0||||||||||||||||||||||||||
54462125|3873709|Sample|QS07US01HTX4Q3R6|438|362|463|411|452|447|519|472|435|739|359|1|0|0||||||||0|1|0|0|0|0|0|0|0|0|0|0|0|0||||||||||||||||||||||||||
51683987|3780056|Sample|QS07USQS0760GYCN|421|432|670|679|510|447|593|407|607|740|336|0|1|0|1|0|0|0||0||0|1|0|0|0|0|1|1|0|0|0|0|0|0||||||||||||||||||||||||||
56804783|2776666|Sample|QS07US01S56N8GFH|454|514|566|538|538|454|552|763|501|761|493|1|0|0|0|0|0|0||0||0|0|0|0|1|0|0|0|0|1|0|0|0|0||||||||||||||||||||||||||
52293688|2563304|Sample|QS07US01KMYQCZB7|294|209|405|327|459|200|789|431|347|445|200|1|0|0|0|0|0|0||0||0|1|0|0|0|0|1|0|1|0|0|0|0|0||||||||||||||||||||||||||
57155880|2761942|Sample|QS07US01T8CMNXW8|484|266|356|338|513|310|459|570|450|754|257|1|0|0||||||0||0|0|0|1|0|0|0|0|||0|0|0|0||||||||||||||||||||||||||
56467114|3098043|Sample|QS07US02PK3ZWS28|348|321|563|500|443|257|546|400|566|470|221|0|1|0|0|0|0|0||0||0|0|1|0|0|0|0|1|0|0|0|0|0|0||||||||||||||||||||||||||
59291070|3701263|Sample|QS07US013MWQPZRM|376|316|591|531|528|331|590|416|385|481|258|1|0|0|0|0|0|0||1||0|0|0|1|0|0|1|0|0|0|0|0|0|0||||||||||||||||||||||||||
61413618|2919689|Sample|QS07US01VRRXNB2N|710|500|261|200|237|267|763|795|627|757|465|1|0|0||||||||0|1|1|0|0|1|1|1|1|1|1|0|0|0||||||||||||||||||||||||||
59945746|2711985|Sample|QS07US024FS08F2P|334|317|634|576|526|273|594|707|543|455|222|0|1|0|1|0|0|0||1||0|0|0|1|0|0|0|0|0|1|0|0|0|0||||||||||||||||||||||||||
51954428|2963377|Sample|QS07US02TT6W5Y5H|423|617|731|923|798|626|603|690|450|761|545|0|1|0|1|0|0|0||||0|1|0|0|1|1|1|1|0|1|0|0|0|0||||||||||||||||||||||||||
58735389|3650543|Sample|QS07US02Z0ZTDGT2|351|454|633|619|468|396|574|350|723|492|691|0|0|1|0|0|0|0||0||0|0|1|0|0|0|0|0|0|0|1|0|0|0||||||||||||||||||||||||||
65004712|3235908|Sample|QS07US02WY8QYZRB|424|417|595|630|459|493|843|407|429|738|654|0|0|1|0|0|0|0||0||0|1|0|0|0|0|0|1|1|0|0|0|0|0||||||||||||||||||||||||||
50527367|3805090|Sample|QS07US028WE6ZBDF|396|577|784|741|575|504|891|345|467|477|748|0|1|0|0|0|0|0||0||0|1|1|0|0|1|1|1|1|0|0|0|0|0||||||||||||||||||||||||||
62899461|2788985|Sample|QS07US025R5V8FD5|405|433|611|575|611|337|554|750|435|712|344|1|0|0|1|0|0|0||1||0|1|1|0|0|1|1|1|0|1|0|0|0|0||||||||||||||||||||||||||
64264506|3757629|Sample|QS07US029EVT8DML|414|464|478|493|437|481|481|743|446|500|407|0|0|1|0|0|0|0|||||1|0|1|0|1|0|1|0|1|0|0|0|0||||||||||||||||||||||||||
53913641|3054360|Sample|QS07US014M28L542|531|401|409|337|281|548|505|821|511|460|530|1|0|0||||||0||1|0|0|1|0|0|1|1|0|1|0|0|0|0||||||||||||||||||||||||||
63526164|4008470|Sample|QS07US02H73P6ER1|396|396|475|503|434|462|488|421|412|469|359|0|1|0|1|0|0|0||||0|||||||||||||||||||||||||||||||||||||||
65433296|3601163|Sample|QS07US02QMGV2246|428|734|769|731|775|679|781|476|774|798|674|||||||||||0|1|1|1|1|1|1|1|1|0|1|1|1|1||||||||||||||||||||||||||
60175280|3963023|Sample|QS07US0223BSWV28|462|496|564|810|492|381|519|764|790|530|690|0|1|0|0|0|0|0||0||0|1|0|0|0|0|0|1|0|1|1|0|0|0||||||||||||||||||||||||||
51035175|3467227|Sample|QS07US020J72ZTNL|537|601|552|576|519|651|469|796|819|446|623|0|0|0||||||0||0|0|0|1|0|0|0|1|0|1|0|0|0|0||||||||||||||||||||||||||
50416795|3809034|Sample|QS07US02C85P89KL|864|640|583|548|441|865|514|827|854|710|876|0|1|0|1|0|0|0||0||1|1|0|1|0|1|0|1|0|1|1|0|0|1||||||||||||||||||||||||||
52015585|3906770|Sample|QS07US013FQ6NWY1|744|356|522|458|442|362|537|454|426|479|567|0|1|0|1|0|0|0||1||0|0|0|1|0|0|1|0|0|0|0|0|0|||||||||||||||||||||||||||
48079757|3557489|Sample|QS07US02YEFKL2NV|536|601|542|544|762|590|510|797|558|742|613||||||||||||0|0|1|1|1|1|1|0|1|0|0|0|0||||||||||||||||||||||||||
56330334|2822942|Sample|QS07US01G77MZWNK|755|236|318|278|378|264|742|543|382|524|526|1|0|0||||||||0|1|0|0|0|0|1|1|1|0|0|0|0|0||||||||||||||||||||||||||
63297028|3236748|Sample|QS07US02VY8RY15V|529|749|769|764|816|683|601|414|713|456|702|0|1|0|1|0|0|0||1||1|0|1|0|0|0|0|0|0|0|0|0|0|0||||||||||||||||||||||||||
47327075|3447917|Sample|QS07USQS07PNGMSW|494|482|442|441|451|379|426|529|458|509|397|0|1|0||||||||0|1|0|0|0|0|1|0|0|0|0|0|0|0||||||||||||||||||||||||||
54314024|3454094|Sample|QS07US02XD0D5N4Z|475|542|573|575|531|547|530|772|493|707|496|||||||||||1|0|0|0|1|0|0|0|0|1|0|0|0|0||||||||||||||||||||||||||
61306873|3578522|Sample|QS07US014MHYQY04|515|483|477|757|475|383|487|531|822|506|718|1|0|0||||||0||0|1|0|0|0|0|1|0|0|0|1|0|0|0||||||||||||||||||||||||||
45140880|3082297|Sample|QS07US028PNGZDD1|479|345|355|329|311|276|405|548|441|467|261|0|1|0|0|0|0|0||0||0|||||||||||||||||||||||||||||||||||||||
52967126|3907974|Sample|QS07US022FHKLRRV|336|414|637|604|468|365|571|368|386|725|302|0|1|0|0|0|0|0||1||0|1|0|0|0|0|0|0|0|0|0|0|0|0||||||||||||||||||||||||||
63112837|3158959|Sample|QS07US02LX04JXE8|493|639|709|719|533|824|589|421|503|437|772|0|1|0||||||0||0|1|1|0|0|1|1|1|0|0|0|0|0|1||||||||||||||||||||||||||
56356895|3580666|Sample|QS07US02ZM0YW7DZ|417|268|367|311|441|298|466|494|577|517|261|1|0|0||||||||0|1|1|0|0|1|1|1|0|0|0|0|0|0||||||||||||||||||||||||||
60927912|3839225|Sample|QS07US02773P3DSE|372|398|551|537|524|684|812|393|663|455|530|0|0|1|0|0|1|0||0||0|0|1|0|0|0|1|1|1|0|0|0|0|1||||||||||||||||||||||||||
60780679|2792543|Sample|QS07US02REZQP7F5|751|439|543|512|518|426|525|768|765|780|723|||||||||||0|1|0|0|0|0|1|1|0|1|1|0|0|0||||||||||||||||||||||||||
60125380|3494235|Sample|QS07US0288RPJKDE|433|454|541|521|544|332|483|481|425|475|350|0|1|0|0|0|0|0||1|||||||||||||||||||||||||||||||||||||||||
50805715|2992213|Sample|QS07US01FQPX0YYJ|750|426|499|460|552|312|500|780|465|741|347|1|0|0||||||||0|0|1|0|1|1|0|1|0|1|1|0|0|0||||||||||||||||||||||||||
54138928|3326365|Sample|QS07US024BJKC72X|312|308|459|462|644|449|497|390|372|707|298|0|0|1|0|0|0|0||0||0|0|0|0|1|0|0|0|0|0|0|0|0|0||||||||||||||||||||||||||
47234165|3387898|Sample|QS07US02472SFW4D|460|200|208|200|210|294|389|843|431|716|241|1|0|0||||||0|||1|0|0|0|0|1|0|0|1|0|0|0|||||||||||||||||||||||||||
58413198|2795516|Sample|QS07US01HMQQSY68|350|208|455|358|277|377|840|415|516|735|242|1|0|0||||||0||0|1|0|0|0|0|0|1|1|0|0|0|0|0||||||||||||||||||||||||||
