"","acct_id","gas_dept_retail_card_hldr_cd","travel_ent_card_hldr_cd","credit_card_unk_type_hld_cd","prem_card_hldr_cd","upscale_dept_str_card_hldr_cd","veh_truck_owner_cd","veh_mtrcyc_owner_cd","veh_rv_owner_cd","ult_party_id.x","cust_postal_cd","adult_hh_num","len_of_resdnc_cd","income_est_hh_cd","est_hh_inc_cd_100pct_inc_cd","financial_pct_score","bank_card_hldr_cd","veh_known_owned_cd","psx_classic_clus_cd","psx_group_id","dist_to_client_ven_mi","dist_to_client_ven_km","e3_events_cnt","e3_tkt_qty_avg","e3_spend_total","e3_spend_per_event","e3_tkt_price_avg","e3_tkt_price_min","e3_tkt_price_max","e3_txpr_pctile","e3_dist_to_ven","e3_dist_to_ven_local","e3_spend_pe_m_concerts","e3_spend_pe_m_arts","e3_spend_pe_m_sports","e3_spend_pe_m_family","e3_spend_pe_m_misc","e3_sow_m_concerts","e3_sow_m_arts","e3_sow_m_sports","e3_sow_m_family","e3_sow_m_misc","e3_pref_tkt_qty_01_02","e3_pref_tkt_qty_03_04","e3_pref_tkt_qty_05_08","e3_pref_tkt_qty_09_plus","e3_pref_txpr_001_025","e3_pref_txpr_026_050","e3_pref_txpr_051_100","e3_pref_txpr_101_200","e3_pref_txpr_201_plus","e3_pref_txpr_pctile_00_25","e3_pref_txpr_pctile_25_49","e3_pref_txpr_pctile_50_74","e3_pref_txpr_pctile_75_89","e3_pref_txpr_pctile_90_100","e3_pref_purch_pd_presale","e3_pref_purch_pd_onsale","e3_pref_purch_pd_firstweek","e3_pref_purch_pd_inbetween","e3_pref_purch_pd_finalweek","e3_pref_channel_internet","e3_pref_channel_phone","e3_pref_channel_mobile","e3_pref_channel_box","e3_pref_channel_outlet","rfm_score","propn_score_minor_101","propn_score_minor_102","propn_score_minor_103","propn_score_minor_104","propn_score_minor_105","propn_score_minor_106","propn_score_minor_107","propn_score_minor_108","propn_score_minor_109","propn_score_minor_110","propn_score_minor_111","propn_score_minor_199","propn_score_minor_201","propn_score_minor_202","propn_score_minor_203","propn_score_minor_204","propn_score_minor_205","propn_score_minor_206","propn_score_minor_207","propn_score_minor_299","propn_score_minor_301","propn_score_minor_302","propn_score_minor_399","propn_score_minor_401","propn_score_minor_402","propn_score_minor_403","propn_score_minor_410","propn_score_minor_412","propn_score_minor_420","propn_score_minor_423","propn_score_minor_430","propn_score_minor_432","propn_score_minor_440","propn_score_minor_442","propn_score_minor_450","propn_score_minor_460","propn_score_minor_470","propn_score_minor_480","propn_score_minor_491","propn_score_minor_499","client_event_cnt","client_tkt","client_sp","client_pe_tkt_cnt","client_pe_sp","client_tkt_price","client_tkt_price_max","client_tkt_price_min","ult_party_id.y","behavior_score_05","behavior_score_06","behavior_score_07","behavior_score_09","behavior_score_10","behavior_score_11","behavior_score_12","behavior_score_13","behavior_score_22","behavior_score_23","behavior_score_24","personicx_group"
"1",6652701,1,1,1,0,1,1,0,0,77952081,50628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,430,703,200,560,214,200,240,411,524,298,347,200,532,200,266,259,453,324,445,447,433,418,286,426,486,331,347,353,356,374,283,390,396,227,534,532,200,200,395,NA,NA,NA,NA,NA,NA,NA,NA,84256711,405,377,504,510,348,497,481,409,426,784,359,"Earning"
"2",6719989,0,0,0,0,0,0,0,0,77952081,50628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,430,703,200,560,214,200,240,411,524,298,347,200,532,200,266,200,453,324,445,447,433,418,286,426,486,331,432,353,356,374,283,390,396,227,534,532,282,200,395,NA,NA,NA,NA,NA,NA,NA,NA,77952081,405,422,504,509,348,497,492,363,426,784,359,"Earning"
"3",3519855,0,0,0,0,0,0,0,0,77952081,50628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,430,703,200,560,214,200,240,411,524,298,347,200,532,200,266,259,453,324,445,447,433,418,286,426,486,331,347,353,356,374,283,390,396,304,534,532,200,200,395,NA,NA,NA,NA,NA,NA,NA,NA,84256711,405,422,504,510,348,497,492,409,440,784,359,"Earning"
"4",6730473,0,0,0,0,0,0,0,0,77952081,50628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,547,703,200,560,214,200,250,302,524,200,347,200,532,200,266,231,453,324,396,213,433,418,286,426,486,551,347,353,356,374,283,390,208,503,534,532,200,200,395,NA,NA,NA,NA,NA,NA,NA,NA,84256711,405,476,504,510,348,365,492,409,426,784,359,"Earning"
"5",1678044,0,0,1,1,0,1,0,0,77952081,50628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,430,703,200,560,214,200,240,411,524,298,347,200,532,200,266,259,453,324,445,447,433,418,286,426,486,331,347,353,356,374,283,390,396,227,534,532,200,200,395,NA,NA,NA,NA,NA,NA,NA,NA,77952081,405,422,486,510,348,497,492,409,426,784,359,"Earning"
"6",6532346,0,0,1,0,0,0,0,0,77952081,50628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,430,703,200,560,214,200,240,411,524,298,347,200,532,200,266,259,453,324,445,447,433,418,286,426,486,331,347,353,356,374,283,390,396,227,534,532,200,200,395,NA,NA,NA,NA,NA,NA,NA,NA,84256711,405,422,386,510,348,497,481,409,426,784,359,"Earning"
"7",6701096,0,0,0,0,0,0,0,0,77952081,50628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,430,703,200,560,214,200,240,411,524,298,347,200,532,200,266,259,453,324,445,447,433,418,286,426,486,331,347,353,356,374,283,390,396,227,534,532,200,200,395,NA,NA,NA,NA,NA,NA,NA,NA,84256711,405,422,504,510,348,331,492,409,426,784,359,"Earning"
"8",3353324,1,1,1,0,1,0,0,0,77952081,50628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,430,703,200,560,214,200,240,411,524,298,347,200,532,200,266,259,453,324,445,447,433,418,286,426,486,331,347,353,356,374,283,390,396,227,534,532,200,200,395,NA,NA,NA,NA,NA,NA,NA,NA,77952081,347,483,504,510,348,497,492,409,426,784,359,"Earning"
"9",6888735,0,0,0,0,0,0,0,0,77952081,50628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,430,703,200,560,214,200,240,411,524,298,347,200,532,200,266,259,453,324,445,447,433,418,286,426,486,331,347,353,356,374,283,390,396,227,534,532,200,200,395,NA,NA,NA,NA,NA,NA,NA,NA,84256711,405,377,504,510,348,497,492,409,426,491,359,"Earning"
"10",3249246,0,0,0,0,0,0,0,0,77952081,50628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,430,703,200,560,214,200,240,411,453,298,347,200,532,200,266,259,453,324,445,675,433,418,286,426,486,331,347,353,356,374,283,390,396,227,534,532,282,200,395,NA,NA,NA,NA,NA,NA,NA,NA,77952081,405,422,504,510,348,497,492,409,426,462,359,"Earning"
